"comid","variable","n_years","value_mean","ols_slope","ols_pvalue","mk_tau","mk_pvalue","sen_slope","sen_slope_rel","trend_direction"
620845214,"population",9,36.1897532145182,0.343484401702881,2.34831890771617e-09,1,0.000263260802703515,1.72302961349489,4.76109799169247,"aumento"
620845215,"pop_density",9,55.2785935666196,0.623693726194684,1.70812968886925e-08,1,0.000263260802703515,3.05591224570695,5.52820187442736,"aumento"
620845215,"population",9,608.825256347656,6.86921407063802,1.70812968886948e-08,1,0.000263260802703515,33.6570892333985,5.52820187442739,"aumento"
620845228,"pop_density",9,0.557849116609666,0.0147796283341732,2.84442564363802e-07,1,0.000263260802703515,0.0759904880978784,13.6220504497186,"aumento"
620845228,"population",9,7.12679929203457,0.188817086219787,2.84442564363776e-07,1,0.000263260802703515,0.970816195011135,13.6220504497186,"aumento"
620845230,"pop_density",9,18.3109219439504,0.468571658873374,9.96787288866692e-08,1,0.000263260802703515,2.33108060978217,12.7305474673399,"aumento"
620845230,"population",9,137.37459564209,3.51537963867187,9.96787288866437e-08,1,0.000263260802703515,17.4885381062825,12.7305474673399,"aumento"
620845246,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620845246,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620845257,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620845257,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620846580,"pop_density",9,81.7482927132485,0.890984069475838,1.20150305504916e-08,1,0.000263260802703515,4.43151973232644,5.42093245649918,"aumento"
620846580,"population",9,1147.75840250651,12.509551188151,1.2015030550491e-08,1,0.000263260802703515,62.2192077636704,5.42093245649905,"aumento"
620846590,"pop_density",9,20.4835862821188,0.248008544674536,1.45593850059908e-09,1,0.000263260802703515,1.28061576312151,6.25191187462827,"aumento"
620846590,"population",9,219.850533379449,2.66187815348307,1.45593850059921e-09,1,0.000263260802703515,13.7448616027831,6.25191187462817,"aumento"
620846604,"pop_density",9,0.593831358460223,0.013161873494531,5.70699252402505e-08,1,0.000263260802703515,0.062587342907154,10.5395819899845,"aumento"
620846604,"population",9,5.17967406908671,0.114803999265035,5.70699252402499e-08,1,0.000263260802703515,0.545915995325362,10.5395819899845,"aumento"
620846611,"pop_density",9,477.186491184541,7.31520216955531,1.67689941137314e-05,0.888888888888889,0.00122938491894486,36.3290252450418,7.61317135253781,"aumento"
620846611,"population",9,10905.505859375,167.179879557292,1.67689941137317e-05,0.888888888888889,0.00122938491894486,830.254847935268,7.61317135253779,"aumento"
620846618,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620846618,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620846622,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620846622,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620846633,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620846633,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
